comment_id,코더,다른 항목,댓글,태도(코더),관심사(코더),집값 전망(코더),통장 행동(코더),태도(gpt-oss-120b),관심사(gpt-oss-120b),집값 전망(gpt-oss-120b),통장 행동(gpt-oss-120b)
UgwbVPh9scDxNCAr8Kx4AaABAg,팀원1,태도,시골에서 생활하다 결혼하면서 서울에서 직장생활 시작했음. 고시원부터 출발..... 10년 살다보니 결론이남. 난 아파트는 절대 못들어간다 부동산으로 돈버는거 절대 못하고 그냥 내가 내집이라 부를수있는 빌라로 가는게 어쩔수없는 방법이라는 생각,N,AH,0,0,X,AH,0,0
UgwbVlHclRjmoYZv4x14AaABAg,claude,관심사,애초에 9억이상 분양가 아파트는 규제지역일 경우 중도금 대출도 안되는데 그럼 그 60프로를 무슨돈으로 내냐,N,AB,0,0,N,BD,0,0
UgwbVlHclRjmoYZv4x14AaABAg,팀원1,관심사,애초에 9억이상 분양가 아파트는 규제지역일 경우 중도금 대출도 안되는데 그럼 그 60프로를 무슨돈으로 내냐,N,AB,0,0,N,BD,0,0
Ugwbk7ckvIBZ_muUI2J4AaABAg,claude,"태도, 관심사","대한민국 주택보급률은 100%를 훌쩍 넘어서 이론상으론 모든 국민이 다 1주택을 보유해야 하는데
상위 10%가 대부분을 차지하고 있음.
지금 계속 지어지는 집들도 무주택자들을 위해 짓는게 아니라 상위 10%들의 주택 컬렉션만 계속 늘어날뿐 무주택자들은 평생 무주택자에서 벗어날수가 없음;;",X,,0,0,N,DFH,0,0
Ugwbk7ckvIBZ_muUI2J4AaABAg,팀원1,관심사,"대한민국 주택보급률은 100%를 훌쩍 넘어서 이론상으론 모든 국민이 다 1주택을 보유해야 하는데
상위 10%가 대부분을 차지하고 있음.
지금 계속 지어지는 집들도 무주택자들을 위해 짓는게 아니라 상위 10%들의 주택 컬렉션만 계속 늘어날뿐 무주택자들은 평생 무주택자에서 벗어날수가 없음;;",N,DH,0,0,N,DFH,0,0
UgwhUimUhmq9bJiQ5gl4AaABAg,claude,통장 행동,집 살 돈은 있으면서 소득은 없는 사람에게 유리한 ㅋㅋㅋㅋ 해지하는 청년들아 똑똑한 청년들이다.,N,D,0,0,N,D,0,H
Ugwmolv1tlT367kYzkZ4AaABAg,claude,관심사,당첨되고 청약 다시 넣는중인데 그냥 적금이라 생각하고 넣는중ᆢ 나중에 정책이 또 바뀔수있기때문에,M,EF,0,K,M,G,0,K
Ugwmolv1tlT367kYzkZ4AaABAg,팀원1,"태도, 관심사",당첨되고 청약 다시 넣는중인데 그냥 적금이라 생각하고 넣는중ᆢ 나중에 정책이 또 바뀔수있기때문에,P,,0,K,M,G,0,K
UgwxCY2ws67ZhY4n-JN4AaABAg,팀원1,태도,"앞으로는, 집을 산다고해도 그집을 팔지를 못할듯하다. 신중해지거라! 인구소멸각이다. 나혼자산다. 큰집필요없다. 현찰가지고있으면서 혼자쓰고 저먼곳으로 가는게 좋을듯.",N,H,D,0,X,H,D,0
Ugwyg9K8Vu_BKBNYtjR4AaABAg,claude,관심사,널리고 널린게 집이다... ㅉㅉ... 근복적인 원인이 뭔지도 모르고 떠들어대고잇으니.. 에휴..,X,H,0,0,X,,0,0
Ugwyg9K8Vu_BKBNYtjR4AaABAg,팀원1,관심사,널리고 널린게 집이다... ㅉㅉ... 근복적인 원인이 뭔지도 모르고 떠들어대고잇으니.. 에휴..,X,F,0,0,X,,0,0
Ugx173LqsbTahmAP78F4AaABAg,claude,관심사,"40대 후반이 될 때까지 혜택이라고 마련해 놓은 것들 지원 받아본 적이 없다. 그 때는 없었고 지금은 안된단다.
여전히 청약통장 들고는 있는데 될 거라는 기대는 1도 없다...
젊어서 청약 당첨된 사람은 줍줍으로 된 사람 이야기가 대부분이고, 돈 낸 사람 따로 혜택보는 사람 따로라면 (굳이 세금도 많이 내는데) 자기 살길은 알아서 찾아야 하지 않을까?",N,D,0,K,N,ADG,0,K
Ugx173LqsbTahmAP78F4AaABAg,팀원1,관심사,"40대 후반이 될 때까지 혜택이라고 마련해 놓은 것들 지원 받아본 적이 없다. 그 때는 없었고 지금은 안된단다.
여전히 청약통장 들고는 있는데 될 거라는 기대는 1도 없다...
젊어서 청약 당첨된 사람은 줍줍으로 된 사람 이야기가 대부분이고, 돈 낸 사람 따로 혜택보는 사람 따로라면 (굳이 세금도 많이 내는데) 자기 살길은 알아서 찾아야 하지 않을까?",N,DF,0,K,N,ADG,0,K
Ugx31EsD7_iNBq3oTSN4AaABAg,claude,"태도, 통장 행동","나만 깬게 아니구나,,",N,,0,H,M,,0,0
Ugx31EsD7_iNBq3oTSN4AaABAg,팀원1,"태도, 통장 행동","나만 깬게 아니구나,,",N,,0,H,M,,0,0
UgxAYghyAuf8PDLhwBB4AaABAg,claude,관심사,장기 임대 주택이 있는데 청약할 이유가 없지.,N,G,0,0,N,,0,0
UgxAYghyAuf8PDLhwBB4AaABAg,팀원1,관심사,장기 임대 주택이 있는데 청약할 이유가 없지.,N,G,0,0,N,,0,0
UgxBvQxU3trbxoxSwoR4AaABAg,claude,태도,"난 청약을 넣지도 않았다ㅋㅋ 당첨이 되면 뭐해 돈이 없어서 사질 못하는데  청약이라는 시스템을 처음 알게됐을때 
저 생각을 하고 아예 들지도 않았음ㅋㅋㅋ",N,A,0,0,M,A,0,0
UgxBvQxU3trbxoxSwoR4AaABAg,팀원1,태도,"난 청약을 넣지도 않았다ㅋㅋ 당첨이 되면 뭐해 돈이 없어서 사질 못하는데  청약이라는 시스템을 처음 알게됐을때 
저 생각을 하고 아예 들지도 않았음ㅋㅋㅋ",N,A,0,0,M,A,0,0
UgxD-XjZpkQn-uO6QpZ4AaABAg,claude,"태도, 관심사",유지하면서 외곽으로 시선을 돌리면 가능한거같은뎁…..,P,H,0,K,M,,0,K
UgxD-XjZpkQn-uO6QpZ4AaABAg,팀원1,관심사,유지하면서 외곽으로 시선을 돌리면 가능한거같은뎁…..,M,H,0,K,M,,0,K
UgxFsquDPZtKsN7hTjF4AaABAg,claude,태도,저도 혹시나 하면서 유지하고있긴한데,M,,0,K,P,,0,K
UgxFsquDPZtKsN7hTjF4AaABAg,팀원1,태도,저도 혹시나 하면서 유지하고있긴한데,M,,0,K,P,,0,K
UgxGFbzCAbYj7R6D5MJ4AaABAg,claude,"태도, 관심사, 통장 행동","청약 진짜 계속 안좋아지는구나..
경기 부천에 빌라 매매로 유주택이지만 청약 넣고 있는데.. 뭐가 나은건지 모르겠네요;
청약 1천 모아놨고 앞으로 만원씩 넣으려 하는데 청약되도 적게는 2~3억
많게는 5~6억원이 필요한데
살고있는 집을 팔아도 턱없이 부족하니
어찌할지ㅠ",M,A,0,K,N,ABC,0,0
UgxGFbzCAbYj7R6D5MJ4AaABAg,팀원1,"태도, 관심사, 통장 행동","청약 진짜 계속 안좋아지는구나..
경기 부천에 빌라 매매로 유주택이지만 청약 넣고 있는데.. 뭐가 나은건지 모르겠네요;
청약 1천 모아놨고 앞으로 만원씩 넣으려 하는데 청약되도 적게는 2~3억
많게는 5~6억원이 필요한데
살고있는 집을 팔아도 턱없이 부족하니
어찌할지ㅠ",M,AB,0,K,N,ABC,0,0
UgxLCvV1SRXezXuPCCp4AaABAg,claude,"태도, 관심사","거주 목적의 부동산 시세를 특수목적 외에는 한 해에 n% 이상 올리지 못하게 막으면 어떻게 안되나..??
고수님들 피드백 좀 주십셔.
궁금합니다.",X,A,0,0,M,,0,0
UgxLCvV1SRXezXuPCCp4AaABAg,팀원1,관심사,"거주 목적의 부동산 시세를 특수목적 외에는 한 해에 n% 이상 올리지 못하게 막으면 어떻게 안되나..??
고수님들 피드백 좀 주십셔.
궁금합니다.",M,A,0,0,M,,0,0
UgxQRGBBhd_kI_epdYV4AaABAg,claude,관심사,2년전부터 모든 적금통장 다 깨고 달러로 환전후 미국주식 하고있습니다 ㅎㅎ,X,E,0,0,X,,0,0
UgxQRGBBhd_kI_epdYV4AaABAg,팀원1,"태도, 관심사, 통장 행동",2년전부터 모든 적금통장 다 깨고 달러로 환전후 미국주식 하고있습니다 ㅎㅎ,N,E,0,H,X,,0,0
UgxQi5pZNnPucxxxcqV4AaABAg,claude,태도,돈은 돈으로 버는겁니다. 2년 3년이라는 시간동안 돈을 얼마든지 크게 불릴 수 잇답니다.2년 기다려서 500 받을거 다른방법으로는 천만.1억도 만들수잇음 ㅇㅇ,N,E,0,0,X,E,0,0
UgxQi5pZNnPucxxxcqV4AaABAg,팀원1,태도,돈은 돈으로 버는겁니다. 2년 3년이라는 시간동안 돈을 얼마든지 크게 불릴 수 잇답니다.2년 기다려서 500 받을거 다른방법으로는 천만.1억도 만들수잇음 ㅇㅇ,N,E,0,0,X,E,0,0
UgxReeI2jJSwAy4HG1x4AaABAg,claude,"태도, 관심사, 통장 행동","애초에 미친 경쟁률을 뚫는것부터가 난관인데 뭐..
급한 돈이 필요하면 청약통장해지하는것도 방법이 맞지",N,C,0,0,M,BC,0,H
UgxReeI2jJSwAy4HG1x4AaABAg,팀원1,관심사,"애초에 미친 경쟁률을 뚫는것부터가 난관인데 뭐..
급한 돈이 필요하면 청약통장해지하는것도 방법이 맞지",M,CB,0,H,M,BC,0,H
Ugx_RIoKFrh4rwyK_PZ4AaABAg,claude,관심사,미안한 얘기일수도 있지만 우리 부모세대 50-60 베이비붐이 다 더세상 가셔야 정상화 시작임,X,F,0,0,X,,0,0
Ugx_RIoKFrh4rwyK_PZ4AaABAg,팀원1,관심사,미안한 얘기일수도 있지만 우리 부모세대 50-60 베이비붐이 다 더세상 가셔야 정상화 시작임,X,F,0,0,X,,0,0
UgxcgSbm51csJUutG-h4AaABAg,claude,관심사,"저는 가점제가 잘못이 크다고 생각해요. 청약 통장은 청약할 권리를 부여 하는 딱 순수하고 단순한 기능만 했었어야 할 것 같습니다. 가점제의 목적은 좋았겠으나 복잡할수록 갈등은 늘고, 효과는 여전히 비확정적인 순번에 그치는지라, 비용편익이 나쁘다고 생각하거든요. 이제 본격적으로 그 비용을 갚을 시기가 왔나보네요.",N,C,0,0,N,CD,0,0
UgxeWZJe7W6GsPKLUad4AaABAg,claude,관심사,"굳이  돈 놀이 하는. 것들에. 희생양이.  굳이. 또 서울 인천. 살 필요가.   편하게. 살 라고 하니. 나락을.  가니. ..
처등. 나와도.  어촌. 에서 연 2억. 벌면서. 나누리고 여행. 잘다니는데.  굳이. 대학 나와서 나락을 가는것이",X,H,0,0,X,,0,0
UgxeWZJe7W6GsPKLUad4AaABAg,팀원1,관심사,"굳이  돈 놀이 하는. 것들에. 희생양이.  굳이. 또 서울 인천. 살 필요가.   편하게. 살 라고 하니. 나락을.  가니. ..
처등. 나와도.  어촌. 에서 연 2억. 벌면서. 나누리고 여행. 잘다니는데.  굳이. 대학 나와서 나락을 가는것이",X,H,0,0,X,,0,0
UgxmPW6kOC6GCLV70vV4AaABAg,claude,"태도, 관심사",청약통장이 역할을 못하는데 청약 통장 역할을 강화해야지 ㅋㅋ,N,F,0,0,M,G,0,0
UgxmPW6kOC6GCLV70vV4AaABAg,팀원1,관심사,청약통장이 역할을 못하는데 청약 통장 역할을 강화해야지 ㅋㅋ,M,,0,0,M,G,0,0
UgxoR1msIC-cp9X1T914AaABAg,claude,관심사,걍 지수추종하고 집 살때 피주고 사는게 나을듯 당첨 안될 확률이 더 높은 통장에 천년만년 넣어두는것 보다는.....,N,CE,0,0,N,E,0,0
Ugxpixn-TI_qf8X2isB4AaABAg,claude,관심사,거주의 안정이 결혼으로 이어진다는 말이 정말 와닿네 요즘 결혼하고 집 마련하는 사람이 얼마나 있겠음,X,D,0,0,X,,0,0
Ugxpixn-TI_qf8X2isB4AaABAg,팀원1,태도,거주의 안정이 결혼으로 이어진다는 말이 정말 와닿네 요즘 결혼하고 집 마련하는 사람이 얼마나 있겠음,N,,0,0,X,,0,0
UgxsP9GEmlMWAtgmZ7F4AaABAg,팀원1,관심사,가점이 문제가아니라 대출을 땡겨도 불가능하다는게 제일 큰 문제인데 ㅋㅋㅋ,N,B,0,0,N,BC,0,0
Ugxt5faIidK5YHxgxPp4AaABAg,팀원1,관심사,"부모 도움 안받으면 못들어가는 수준인데 청약이 무의미 하게 만들어 놓으니 그모양이지
선분양으로 건축회사들 돈은 벌고 책임은 제대로 안지고...
의식주 가지고 장난치면 무조건 법정  최고형 때려야 된다.",N,DA,0,0,N,ADF,0,0
UgxxPOZ4lU3TxIKI6xJ4AaABAg,claude,"관심사, 통장 행동","저도 싱글에 10년 1300정도 납입 했는데 의미 없더라구요...
(계속 납입 중 인 호구1)",N,D,0,K,N,,0,0
UgxxPOZ4lU3TxIKI6xJ4AaABAg,팀원1,"관심사, 통장 행동","저도 싱글에 10년 1300정도 납입 했는데 의미 없더라구요...
(계속 납입 중 인 호구1)",N,C,0,K,N,,0,0
UgxxU7s7UWaX8O992_N4AaABAg,claude,관심사,"집값이 말도 안되게 올랐는데 소득부터 대출까지 온갖건 작살내야 합격하고
이딴게 아직도 손을 안보고 있다는게 이해가 안돼요
높으신분들 많이 해먹어야되서 일부러 내비두는거겠지?",N,ABDF,0,0,N,ABC,0,0
UgxxU7s7UWaX8O992_N4AaABAg,팀원1,관심사,"집값이 말도 안되게 올랐는데 소득부터 대출까지 온갖건 작살내야 합격하고
이딴게 아직도 손을 안보고 있다는게 이해가 안돼요
높으신분들 많이 해먹어야되서 일부러 내비두는거겠지?",N,ABD,0,0,N,ABC,0,0
Ugy1X5giLNW2v76euDZ4AaABAg,claude,관심사,1인 가구는 당첨 되는 확률도 너무 터무니없이 낮기도하고 당첨되었다고 해도 분양가가 너무 높음. 그렇다고 연고지도 없는 인구감소지역에 넣을것도 아니고,N,ACDH,0,0,N,ACD,0,0
Ugy1X5giLNW2v76euDZ4AaABAg,팀원1,관심사,1인 가구는 당첨 되는 확률도 너무 터무니없이 낮기도하고 당첨되었다고 해도 분양가가 너무 높음. 그렇다고 연고지도 없는 인구감소지역에 넣을것도 아니고,N,CAH,0,0,N,ACD,0,0
UgyBkW-oSq8hu6swzhN4AaABAg,claude,관심사,점수는 저소득층에게 몰아주지만 막상 당첨되고 나면 저소득층이라 못 들어가는 아이러니,N,CD,0,0,N,D,0,0
UgyDdm9M6-Jw2IhCZNp4AaABAg,claude,관심사,20억이 넘는 아파트에 저소득 특공이라는 이게 무슨 개소리인지...ㅋㅋ 그냥 금수저 특공이잖아?,N,AD,0,0,N,D,0,0
UgyDdm9M6-Jw2IhCZNp4AaABAg,팀원1,관심사,20억이 넘는 아파트에 저소득 특공이라는 이게 무슨 개소리인지...ㅋㅋ 그냥 금수저 특공이잖아?,N,DA,0,0,N,D,0,0
UgyGaEYt3oU0vGSbRhR4AaABAg,claude,통장 행동,야나도!!   진~ 작에 깼다 가고싶은 곳은 된다하더라도 계약금조차도 낼수가 없다,N,A,0,H,N,A,0,0
UgyGaEYt3oU0vGSbRhR4AaABAg,팀원1,통장 행동,야나도!!   진~ 작에 깼다 가고싶은 곳은 된다하더라도 계약금조차도 낼수가 없다,N,A,0,H,N,A,0,0
UgyHALQkn4Tb6IN3EPZ4AaABAg,claude,관심사,당첨되면 뭐해? 이재명이 대출을 다 막아버렸는데..,N,BF,0,0,N,BD,0,0
UgyHALQkn4Tb6IN3EPZ4AaABAg,팀원1,관심사,당첨되면 뭐해? 이재명이 대출을 다 막아버렸는데..,N,BF,0,0,N,BD,0,0
UgyKXGCQTcWFhPThc0J4AaABAg,claude,태도,첨부터 하지도 않았음  빚이나 없음 다행이지,N,,0,0,X,,0,0
UgyKXGCQTcWFhPThc0J4AaABAg,팀원1,태도,첨부터 하지도 않았음  빚이나 없음 다행이지,N,,0,0,X,,0,0
UgyMy6hY9xVgPylbauR4AaABAg,claude,관심사,된다해도 무리하게 지르는 순간 노예확정~,N,AB,0,0,N,,0,0
UgyMy6hY9xVgPylbauR4AaABAg,팀원1,관심사,된다해도 무리하게 지르는 순간 노예확정~,N,A,0,0,N,,0,0
UgyS3BIQdNejwznWIih4AaABAg,팀원1,태도,그냥 그만큼 먹고살기 힘들어진거지 뭐..,N,,0,0,X,,0,0
UgySsVIsogP81tYbK2B4AaABAg,claude,관심사,유명무실 딱 네글자로...,N,,0,0,N,D,0,0
UgySsVIsogP81tYbK2B4AaABAg,팀원1,관심사,유명무실 딱 네글자로...,N,,0,0,N,D,0,0
UgyX9t9x28AAQObvjkZ4AaABAg,claude,태도,정부 정책이 잘못됐다는 뜻이지 뭐. 하나만 알고 둘은 망치는,N,F,0,0,X,F,0,0
UgyX9t9x28AAQObvjkZ4AaABAg,팀원1,태도,정부 정책이 잘못됐다는 뜻이지 뭐. 하나만 알고 둘은 망치는,N,F,0,0,X,F,0,0
UgyaMUsfjrt-L1g7q3h4AaABAg,팀원1,관심사,청약에 당첨되더라도 저층에 배정받거나 날림 공사로 아파트 자체 하자가 심하면 어찌 할 수 없는것도 문제라고 생각합니다. 청약 받는게 별 큰 메리트가 없다고 느껴저서 저는 그냥 형편에 맞게 빌라를 매입했습니다.,N,AI,0,0,N,I,0,0
UgyceCgw7bt56cGKlm54AaABAg,claude,태도,이거보고 나도 그냥 깰까 싶다,N,,0,H,M,,0,H
UgyceCgw7bt56cGKlm54AaABAg,팀원1,태도,이거보고 나도 그냥 깰까 싶다,N,,0,H,M,,0,H
UgyfGCkQDb6-PfGPPel4AaABAg,claude,"태도, 관심사","청약은 아파트 사려고 하는 게 아니라 LH임대나 다른 사업 응모할 때 가산점 얻으려고 쓰는 거 ㅋㅋ

아파트 절대 못 삼..",M,AG,0,0,N,G,0,0
UgyfGCkQDb6-PfGPPel4AaABAg,팀원1,관심사,"청약은 아파트 사려고 하는 게 아니라 LH임대나 다른 사업 응모할 때 가산점 얻으려고 쓰는 거 ㅋㅋ

아파트 절대 못 삼..",N,AG,0,0,N,G,0,0
Ugz4bKmvGgOwSaLEM6h4AaABAg,claude,관심사,청약된 집으로 집담보 대출도 안되는데 뭐하러 청약함 ㅋㅋㅋㅋㅋ,N,B,0,0,N,BD,0,0
Ugz4bKmvGgOwSaLEM6h4AaABAg,팀원1,관심사,청약된 집으로 집담보 대출도 안되는데 뭐하러 청약함 ㅋㅋㅋㅋㅋ,N,B,0,0,N,BD,0,0
Ugz90Vo_yLsDymumHS14AaABAg,claude,관심사,"청약통장 뉴스 엄청 많은데 나는 꼭 유지 하라고 이야기 해준다. 미성년자 시절 가장 저렴한 금액으로 2년정도면 납입하고 그냥 두라고 이야기해 준다. 이미 2년이 지났다면 닙입안해도 되니까 들고 있으라고 한다.
굳이 해지할 필요도 없을뿐더라 나충에 혹시나 필요한 순간이 올 수 있다. 지금 당장은 필요없을지 모르겠지만 추후에 필요해질때 1-2점 차이로 떨어지는 경우도 생긴다.
지금 돈이 없다고 해서 대출 안된다고 포기한다고?  어떤 뇌없는 시키가 이렇게 말하지? 평생 거지로 살거라는 거지?? 왜 능력이 없어서 돈 못모을것 같아? 
그리고 대출은 언제까지 규제일것같아? 사람일은 아무도 모르는 거다. 청약 통장은 무조건 유지해라! 납입금액은 중요하지 않아 횟수가 중요하지 그러니 횟수만 채우고 그냥 들고만이라도 있어.",P,BCF,0,K,P,G,0,K
Ugz90Vo_yLsDymumHS14AaABAg,팀원1,관심사,"청약통장 뉴스 엄청 많은데 나는 꼭 유지 하라고 이야기 해준다. 미성년자 시절 가장 저렴한 금액으로 2년정도면 납입하고 그냥 두라고 이야기해 준다. 이미 2년이 지났다면 닙입안해도 되니까 들고 있으라고 한다.
굳이 해지할 필요도 없을뿐더라 나충에 혹시나 필요한 순간이 올 수 있다. 지금 당장은 필요없을지 모르겠지만 추후에 필요해질때 1-2점 차이로 떨어지는 경우도 생긴다.
지금 돈이 없다고 해서 대출 안된다고 포기한다고?  어떤 뇌없는 시키가 이렇게 말하지? 평생 거지로 살거라는 거지?? 왜 능력이 없어서 돈 못모을것 같아? 
그리고 대출은 언제까지 규제일것같아? 사람일은 아무도 모르는 거다. 청약 통장은 무조건 유지해라! 납입금액은 중요하지 않아 횟수가 중요하지 그러니 횟수만 채우고 그냥 들고만이라도 있어.",P,CG,0,K,P,G,0,K
UgzF3fhujrOjRtl1RtJ4AaABAg,claude,"관심사, 통장 행동",걍 피주고 사는거 대비 이득이 전혀 없는데 유지할 이유가 도대체 뭐임?,N,A,0,0,N,E,0,H
UgzF3fhujrOjRtl1RtJ4AaABAg,팀원1,"관심사, 통장 행동",걍 피주고 사는거 대비 이득이 전혀 없는데 유지할 이유가 도대체 뭐임?,N,A,0,0,N,E,0,H
UgzHzTB8sYLSDkXrjzN4AaABAg,claude,관심사,게임에서 보면 길드에 인원이 없으면 합병한다. 한국은 나라 합병해야할것같은데 ㅋ 몽골이라던지 ㅋ,X,F,0,0,X,,0,0
UgzHzTB8sYLSDkXrjzN4AaABAg,팀원1,관심사,게임에서 보면 길드에 인원이 없으면 합병한다. 한국은 나라 합병해야할것같은데 ㅋ 몽골이라던지 ㅋ,X,F,0,0,X,,0,0
UgzIW9WQmC3wK32ZhJt4AaABAg,claude,태도,1인가구가 불리한건 그대로 유지해야댐.,P,D,0,0,M,D,0,0
UgzIW9WQmC3wK32ZhJt4AaABAg,팀원1,태도,1인가구가 불리한건 그대로 유지해야댐.,X,D,0,0,M,D,0,0
UgzK0f-SZcuqJaHnNKZ4AaABAg,claude,"관심사, 통장 행동","그냥 적금마냥 돈모은다 생각하고
조금씩넣으면서
연말정산혜택보고있는데
굳이 해지를해야하나요??
(궁금해서)",M,E,0,K,M,G,0,0
UgzK0f-SZcuqJaHnNKZ4AaABAg,팀원1,통장 행동,"그냥 적금마냥 돈모은다 생각하고
조금씩넣으면서
연말정산혜택보고있는데
굳이 해지를해야하나요??
(궁금해서)",M,G,0,K,M,G,0,0
UgzLEwGKEjAmhr2a8ax4AaABAg,claude,"관심사, 집값 전망",애매하게 돈 못벌면 심지어 당첨도 안됨,N,CD,0,0,N,ABC,D,0
UgzLEwGKEjAmhr2a8ax4AaABAg,팀원1,"관심사, 집값 전망",애매하게 돈 못벌면 심지어 당첨도 안됨,N,CD,0,0,N,ABC,D,0
UgzLg1IkwQNpKfInnwd4AaABAg,claude,관심사,우리 한테 돌아오는건 없는데 패널티만 더 쌓이면 ㄹㅇ 이게 맞는 정책인지 한번 쯤 돌아 봐야 하는거 아님? 이지경이 올때 까지 아무것도 안한거만 너무 무능한데,N,F,0,0,N,DF,0,0
UgzLg1IkwQNpKfInnwd4AaABAg,팀원1,관심사,우리 한테 돌아오는건 없는데 패널티만 더 쌓이면 ㄹㅇ 이게 맞는 정책인지 한번 쯤 돌아 봐야 하는거 아님? 이지경이 올때 까지 아무것도 안한거만 너무 무능한데,N,F,0,0,N,DF,0,0
UgzOXh9NuKwt820TJ594AaABAg,claude,"태도, 관심사",결혼해도 애 없으면 의미없음. 애도 하나 말고 한 둘셋은 있어야 의미있음,N,D,0,0,X,,0,0
UgzOXh9NuKwt820TJ594AaABAg,팀원1,"태도, 관심사",결혼해도 애 없으면 의미없음. 애도 하나 말고 한 둘셋은 있어야 의미있음,N,D,0,0,X,,0,0
UgzXMXPWQubepRsozZN4AaABAg,claude,"태도, 통장 행동",이천만들어놓고 그냥 예금통장? 됐음..^,M,E,0,K,N,E,0,0
