작성시각(KST),댓글,좋아요,답글수,태도,관심사,집값전망,통장행동,comment_id
2026-09-13 09:04,ㅇ국민임대 행복주택도 너무 힘듬..,12,0,부정,임대·대출우대 등 부가 기능,,,Ugw7Ynk5G3fLACYUmd94AaABAg
2026-09-13 16:47,저금리로 일정금액까지 대출 지원이 안되면 청약 의미 없음,8,0,부정,대출규제·자금조달,,,UgzFtSyiF7GmX7WcT2R4AaABAg
2026-09-13 13:57,민주당이 말아먹는 대한민국의 미래,7,0,해당 없음,정부·정치 불신,,,UgwNZ5mSe2xIjQM1S754AaABAg
2026-09-13 16:05,비자 승인되서 내년초 이민간다... 잘있어라 꼬레아... 나도 청약 깨러 가야지,6,0,긍정,,,,UgwV4neUxme1-MWcSjB4AaABAg
2026-09-13 13:26,뭐가 문재인지 이재명확하죠?,4,1,해당 없음,,,,UgwDijuPk_Dix5UMqml4AaABAg
2026-09-13 13:48,"눈을 ""찢""고 봐도 청년 부동산 정책 잘한게 1도없는 역대급 정부임.",4,0,해당 없음,정부·정치 불신,,,Ugxo-1-sbLdsvNqmSf94AaABAg
2026-09-13 15:59,애초에 청약 당첨 주택마련 보다는 금액이나 납입횟수로 혜택보는 것들이 있어서 혹시모르니 최저금액으로 매달 넣는 중.. 그 정도는 부담 되는 것도 아니고 정책이라는게 또 언제 바뀔지 모르니까.. 원래 투자라는게 분산투자가 중요하고 안정자산도 있어야하는 법이니까 여러 길 뚫어놓는다고 나쁜 것도 아니고.. 본인 판단이 확고하거나 어쩔 수 없는 상황이면 뭐 해지하는거지 뭐..,4,0,양가,"대체 투자·낮은 금리, 임대·대출우대 등 부가 기능",,,Ugxjf9Ish9Xj7Ji3I4Z4AaABAg
2026-09-13 20:04,근데 이건 있긴 해야 돼요. 모두가 있어서 디폴트거든요.,3,0,양가,,,,UgzSeMMZCHgoBfXT2x14AaABAg
2026-09-13 21:11,그냥 지방에서 살다가 편한하게 사는 인생도 나쁘지않다고 생각이 듭니다.너무나도 남들과 비교하는 세상이 왔는데 그냥 비교없이 살면 행복한 인생 살거같습니다~너무나도 많은 비교 다른사람들보다는 더 나은 삶을 살아야 성공한다는 막연한 기대감등등.한단계 올라가도 다람쥐 챗바퀴 돌듯이 살아가는데.그게 진짜 정답일까요?,3,0,해당 없음,,,,UgwFlxHf_a6yB4th6TB4AaABAg
2026-09-18 07:15,아예 이자를 좀 높게 줘버리면 적금통장처럼 유지할 사람들은 있을 듯..,3,0,양가,대체 투자·낮은 금리,,,UgyyL1t9gerg2NSnRnF4AaABAg
2026-09-15 15:12,왜 해지하겠냐 주식 물려서 물타기  시드가 없어서 그렇지,2,0,긍정,대체 투자·낮은 금리,,유지,UgwhjT-8y3y40vttKcZ4AaABAg
2026-09-15 08:59,청약은 걍 소액 적금 느낌이지뭐; 그외 아무것도 아님,2,0,양가,대체 투자·낮은 금리,,,Ugxr4UNRYpskwq0tH4R4AaABAg
2026-09-13 02:51,"내 생각에는 일단 빠르면 빠를 수록 개설하는게 좋다. 해지 하지 말아라.  꾸준한 납입이 큰 차이를 보이는건 국민주택이고, 민영주택은 꾸준한 납입은 상관없다. 가입기간 가점은 둘 다 있고. 뭔 말이냐면 개설해서 한 두번만 넣어두고 방치하다가 돈 도 좀 모였고 이제 청약 해봐도 되겠다 할 때 필요 예치금 나머지(미납입분) 한 번에 넣으면 민영주택은 그런거 신경 안쓰니까 꾸준히 납입한 사람하고 점수 같다. 동일 조건에 분양이면 아예 청약통장이 없는 사람과 개설해서 숨만 붙여둔 사람 둘을 비교하면 후자가 우선순위다. 청약통장이라는게 순번 정하려고 하는거지 납입금이 얼마냐 뭐 이런거 보려고 하는것도 아니다. 그리고, 해지가 늘어난다는데. 인구가 주는데 당연한거 아닌가? 직장생활하는 남녀가 각자 청약 통장이 있다치자. 결혼해서 10년 쯤 있다가 분양을 받았다고하면 이제 이 청약통장은 해지하는거다. 이러면 이때 두 계좌가 해지되는거다. 혼자 사는 사람이 당첨되어도 해지할 테니 사라진다. 이 경우는 한 계좌겠지만. 없는것보다 무조건 좋은거다. 그렇다고 저 돈이 사라지는것도 아니고 이자 붙여주잖아. 뉴스에 해지건수가 신규가입보다 높아졌다라는데 이거 당첨되서 해지하는거랑 다 구분해서 미당첨에서도 해지하는것과 비교한건가? 그런거 안나오잖아.",2,0,긍정,임대·대출우대 등 부가 기능,,유지,UgwuelF5Y_p6gXYlLbJ4AaABAg
2026-09-14 20:39,리짜이밍 업적😂,2,1,해당 없음,,,,Ugz9_6C5Rfjq9KTmSbp4AaABAg
2026-09-15 08:57,"서민이 집을 가지면 우경화된다
절대 집을 갖게해선 안됨
철저하게 빈곤층, 서민으로 남아서
계속 표를 주게 만들어야 한다
그래야 장기집권 가능하다",2,1,해당 없음,정부·정치 불신,,,UgxJ3q_8YUw46WSjzjp4AaABAg
2026-09-13 19:26,안유진은 한큐에 샀던데? ㅋ  서민들 풉 ㅋ,2,0,해당 없음,,,,Ugw9QCk4x-AV3a4iFSB4AaABAg
2026-09-14 13:23,원래 신축분양이 제일 쌌었는데 요새 대전만봐도 분양하는게 젤비싸. 가장동이 8억을 부르지 않나 😮,2,1,부정,분양가·집값 부담,,,UgzkfMhF95sLmed2PqR4AaABAg
2026-09-15 14:37,저도 얼마전에 해지했습니다............그냥 썩힐바에 목돈 찾아서 굴리려구요,2,0,부정,대체 투자·낮은 금리,,해지,Ugya5J9gH2GunmNXxyZ4AaABAg
2026-09-13 11:12,"왜 해지하지?
단기자금이 필요하거나 투자 때문이라면 청약통장을 담보로 마이너스통장 개설해서 쓰면됩니다.
청약통장에 천만원 있다면 천만원짜리 마이너스통장 개설 가능합니다.",2,0,긍정,임대·대출우대 등 부가 기능,,유지,UgwFbNgHz90x9qa4onx4AaABAg
2026-09-15 14:25,"당첨돼도 돈이 있어야 살 수 있고 대부분 빚내서 사야됨
난 개인적으로 자가를 사지 않는 게 나은 시대라고 생각함 너무 터무니 없이 비싼 게 제일 큰 이유
죽을 때까지 대출금 갚는 기계가 되는 것이거나 
기껏 샀더니 집에 문제 생기거나 맘에 안 들거나 안 팔리거나 집값 떨어지거나 위험 변수가 너무 많음
난 평생 월세로 살 예정 좀 불안정하긴 해도 직장이랑 가깝게 자유롭게 살고 싶음 언제 죽을지도 모르는 게 인생인데 거기에 올인하기도 불안함",2,0,부정,"분양가·집값 부담, 대출규제·자금조달",,,Ugz_KNzgytu7eqJDQ_N4AaABAg
2026-09-14 16:38,분양으로 살바에 그냥 20평짜리 구건물 2억대 사는게 더 싸게먹힌다 재개발 지역 걸리면 개꿀 ㅋㅋㅋㅋㅋㅋㅋ,2,0,부정,분양가·집값 부담,,,UgzMUfKImz1HNOyQIXF4AaABAg
2026-09-14 16:15,앞뒤가 전혀 안맞는 정책임. 청약 당첨되려면 소득이 겁나 낮아야 하는데 막상 되서 아파트 사려면 소득이 겁나 높거나 부모도움 무조건 필요함,2,0,부정,제도 불공정,,,Ugxa3VaAiakFrtOtVyx4AaABAg
2026-09-14 16:09,일단 분양가 자체가 엄청 올라서... 옛날처럼 3~4억 정도면 모를까...,2,0,부정,분양가·집값 부담,,,Ugyar5sWvM28lKto3wp4AaABAg
2026-09-13 17:53,"난 나이도 되고 청약 1순위에 자금도 있지만... 당첨 되서 랜덤 걸리는 것보다,  맘에 드는거 그냥 조금 더 주고 사는게 훨씬 낫더라... 까먹고 해지 안 했을뿐...딱히...필요성이 없음...",2,0,부정,분양가·집값 부담,,,UgwyocquJeup7qy8Rld4AaABAg
2026-09-16 02:15,"징징징징
꼬라지보니 해지하지 말아야겠다",2,0,긍정,,,유지,UgznKf4hJ1j_2S-oWLV4AaABAg
2026-09-14 10:09,"청약 당첨되도 계약금도 20%임
10%도 아니고 20%
수도권 기준 계약금 최소 5~8천임
순수 현금 가능함?
거기다 대출 막았지, 대출 된다고 해도 이자 납부 가능함?
이자 3% 보기 힘듬, 최소 4% 시작이고.
청약 의미없어진지 꽤 오래됐음",2,0,부정,"분양가·집값 부담, 대출규제·자금조달",,,Ugx6ReyBndsSYGZOgkR4AaABAg
2026-09-13 16:48,대출은 막아야 하느건 맞아 갑을 능력도 없는 사람 한테 까지도 돈 막 빌여 주면서 지금 회수가 안돼서 돼잖아  그게다 국민 세금으로 막는거다 세금이 그만큼 많이올라간다,2,0,부정,"대출규제·자금조달, 제도 불공정, 정부·정치 불신",,,UgwuP_0eFQdENTJawqp4AaABAg
2026-09-13 10:14,"요새 청년들이 똑똑하게 잘 하고 있는 것
기본적으로 자본주의 사회에서 자본이란 것은 단 1초도 놀고 있으면 안되는 것이다
내 돈을 일하게 만들지 않으면 평생 톱니바퀴로 살다가 닳아 죽게 된다
미국 2년물보다 낮은 기대수익률을 갖는 곳에 들어간 자본은 전부 빼야된다",2,0,부정,대체 투자·낮은 금리,,,Ugw1GJXNZC_706wektJ4AaABAg
2026-09-15 20:15,청약통장 돈 넣어도 그거 다 자칭 서민들 좋은일에만 쓰임. 청약 재원으로 임대아파트 짓고 버팀목이랑 디딤돌 대출 지원해주는건데 청약 유지할 이유가 있나 싶음,2,0,부정,"제도 불공정, 임대·대출우대 등 부가 기능",,,UgyCSMTbnOBtFYW4Ug14AaABAg
2026-09-13 08:47,집사도 청약통장유이자우대때문에 해지도몬하는,2,0,부정,대체 투자·낮은 금리,,해지,UgykSerYxjD9ESPHJw54AaABAg
2026-09-13 08:43,부동산망해서 청약통장무쓸모.,2,0,부정,대체 투자·낮은 금리,,,UgxqvPgbB9VBYKPTShx4AaABAg
2026-09-13 00:10,유지해야한다.. 속으면 안됨..,2,0,긍정,,,유지,UgzOSyB5UZsU0Jsduox4AaABAg
2026-09-13 18:56,이명박근혜 때만 해도  빚내면 살수있었는데   지금은 그냥 꿈도 못꿈 ㅋㅋ,2,0,부정,대출규제·자금조달,,,UgxmS8yRrEwtdqlRlO94AaABAg
2026-09-13 16:04,코로나 발생 시기부터 원자재 수급이유로 건설비용증가해 분양가 저세상가버림 그리고 코로나끝났는데 분양가는 안내려옴,2,0,부정,분양가·집값 부담,,,Ugyd0fK8sJjMd0DZiZd4AaABAg
2026-09-14 18:25,걍 5~10년된 아파트 삼...살돈이 없음,1,0,부정,분양가·집값 부담,,,UgyAKkPNH0iG0uTlSB94AaABAg
2026-09-13 20:09,굳이 깰 필요는 없겠죠?,1,0,긍정,,,유지,UgxTidZJLWGmD0FyW3l4AaABAg
2026-09-16 16:16,청약통장을 납입을 하시고요 납입한 돈을 담보로 대출을 받아서 다른데 투자를 하셔요 😄,1,0,양가,임대·대출우대 등 부가 기능,,,Ugy1fopegU_NdwBUvsZ4AaABAg
2026-09-13 16:27,아니 인구구조가 급격하게 줄고 있는데ᆢ그 영향이 일단 제일 큰거고ᆢ 그 다음이 공공주택건설이 이명박 까진 좋았는데 이후 급락한 것이 큰 원인이지 머~ 그 다음이 분양가 상승으로 인한 주택구입비용이 원인이고,1,0,양가,"분양가·집값 부담, 수도권 집중·지방·인구",,,UgyAcnUpRtWMcPPWYMp4AaABAg
2026-09-13 17:40,문죄명이 집값도 올려놓고  이제 대출도 못받게 만들어놨는데 ㅋㅋㅋ 어케사노,1,0,부정,"분양가·집값 부담, 대출규제·자금조달, 정부·정치 불신",,,Ugy8SuJg6pRk4tYVg4h4AaABAg
2026-09-13 17:26,"서울 분양가 15억?
ㅋㅋㅋ
부모 도움없이는
대기업 다녀도  못삼...ㅋㅋ",1,0,부정,분양가·집값 부담,,,UgxO2HUZJy8htaetHZl4AaABAg
2026-09-15 01:09,애매하게 돈 못벌면 심지어 당첨도 안됨,1,0,부정,"분양가·집값 부담, 대출규제·자금조달, 가점·당첨확률",하락,,UgzLEwGKEjAmhr2a8ax4AaABAg
2026-09-13 17:49,이재명 이정도로 무능할 줄 몰랐음,1,0,해당 없음,정부·정치 불신,,,Ugzbyi5XyMZknGjicXN4AaABAg
2026-09-15 14:30,구래도 건물주는 넘쳐나고 공실은 없는 매직오브매에직~~~~,1,0,해당 없음,,,,UgxMLjB3Do0T3mKfVz94AaABAg
2026-09-14 17:21,"사실5억도빚없이 사서 들어갈수있는사람거의없을거다.
집값이 터무니없이 높은 것.",1,1,부정,분양가·집값 부담,,,UgwYVfZW7HdIhWVI_o94AaABAg
2026-09-13 12:40,"그냥 지방에 가성비 좋은 구축 사서 리모델링 하자. 
난 그렇게 했다.
지금 32인데 40넘어서 까지 전세나 월세내고 살고 있을거 생각하니까 암담해서 걍 지방에 구축 사서 인테리어 함.",1,0,해당 없음,수도권 집중·지방·인구,,,Ugzlg5leL_Dx2k1Oewp4AaABAg
2026-09-13 21:03,집값의 괴리감이 너무 크다. 월급쟁이는 엄두도 낼수 없는 금액이라..,1,0,해당 없음,분양가·집값 부담,,,UgyzzBAlkjxV7AqeKXJ4AaABAg
2026-09-13 15:53,되도...살수가 없음 중랑구만해도 12억이 넘었음....미친상태지,1,0,부정,분양가·집값 부담,,,Ugycd9_x0jgebpQx9iR4AaABAg
2026-09-14 17:21,니들이 선택한 근저로동배급당이다. 악으로 깡으로 버텨라,1,0,해당 없음,정부·정치 불신,,,UgwBBVncMPBBNmCXeuR4AaABAg
2026-09-15 14:28,"분양가가 이제 넘사임 ..
지방은 공실 넘쳐나는데도 분양가 평당 2500선임ㅋㅋ 하나만걸려라는 마인드",1,0,부정,"분양가·집값 부담, 수도권 집중·지방·인구",,,UgwY-6XsMlhRUtqWZuV4AaABAg
2026-09-13 21:02,음 아파트만 하지말고원룸 1.5룸 이런것도 해주면 안될까나 ㅋ😅😅😅,1,0,양가,,,,UgxtHEuoA08S8xmAXc54AaABAg
2026-09-15 05:31,"좌파가 집권하는 세상에서 집값 안정은 있을 수 없고, 인플레도 막을 수 없음",1,0,해당 없음,정부·정치 불신,,,UgyLznlUHon905WnzgV4AaABAg
2026-09-13 17:51,"신축 아파트 가격 거품이 너무 심해졌음
선분양도 문제임 후분양으로 나가야지
아파트도 부실공사 및 하자도 넘침 
대출제한에  당첨도 어렵고 청약통장 없애고 다른곳에 사용하는게 답인듯",1,0,부정,"분양가·집값 부담, 대출규제·자금조달, 제도 불공정, 신축 품질·하자",,,UgzngyeLS2o7hWEC9al4AaABAg
2026-09-14 16:26,"분양가가 넘사니까 그렇지 ㅋㅋ 
분양가 7-8억하는대를 어케들어감
본인통장에 2-3억 있어야 대출 받아서 들어가는걸 ㅋㅋㅋ
그럼 낮춰서 다른데 가면되는거 안되겠냐고?
에초에 거긴 선택지가 아닌데 뭘 낮춰ㅋㅋ",1,0,부정,"분양가·집값 부담, 대출규제·자금조달",,,Ugy5n8C7BZEZktY9RCR4AaABAg
2026-09-14 16:19,정부는 집값을 낮출 생각 없음,1,0,해당 없음,정부·정치 불신,,,UgzTXFVu1pQrrn13ygx4AaABAg
2026-09-13 16:07,"남겨두라
사람대거 빠지면 좋게 바뀔수도있다
오래걸리것지만",1,0,긍정,,,유지,Ugz_70dI5VL8jMduiQd4AaABAg
2026-09-15 06:49,살만하면 버티는게 ..,1,0,해당 없음,,,,UgwkshR9nKBODMtkuqV4AaABAg
2026-09-14 22:09,"문재인 진짜!!!!!
이 인간때문에 집값 오른거 생각하면 열받음
나 골수 민주당 지지자인데 집값 올린 주범인 문재인은 진짜.너무 싫음",1,0,부정,"분양가·집값 부담, 정부·정치 불신",,,UgzqqF-4bBQhyZyFzP54AaABAg
2026-09-13 16:59,미분양되서 계약금 싸게하면 모하냐 대출이자도 못낸다,1,0,부정,"분양가·집값 부담, 대출규제·자금조달",하락,,UgzDW-qqscNEXWHLLcV4AaABAg
2026-09-13 22:11,LH 나 SH 임대 아파트 가려면 청약통장있어야 합니다. 그리고 일반 적금보다 이자가 더 나와요.,1,0,긍정,임대·대출우대 등 부가 기능,,유지,UgxxpipR3g81LfB3Iqd4AaABAg
2026-09-13 20:30,"청약으로 돈을 대주면 뭐하냐. 제대로 굴리지를 못하는데, 그리고 여기 댓글에 부자 욕하는 사람 많던데, 그 사람들이 시행해준다. 그리고 부자가 다수냐? 거지가 다수지. 거지들이 뽑은 멍청한 정치인들이 청약을 제대로 못굴리게 막고있는걸 두 눈 뜨고 제대로 봐라.",1,0,해당 없음,정부·정치 불신,,,Ugzz1Q-GxtyBI9TC6xR4AaABAg
2026-09-13 20:28,부동산 ㅈ망 정책은 역시 민평 재평ㅋㅋㅋㅋ,1,0,부정,정부·정치 불신,,,UgzdiIDbXo5zqoZozMR4AaABAg
2026-09-15 22:29,"민주당이 주택관련해서 명백하게 나라를 망친다
제발 정신차려라",1,0,해당 없음,정부·정치 불신,,,UgzevrBls_LIehy-rfN4AaABAg
2026-09-15 22:03,그냥 부자들만 더 살기 좋아지는 세상 만드는중이지,1,0,해당 없음,정부·정치 불신,,,Ugx5Xzl6Pc-Y7ZkzrkV4AaABAg
2026-09-13 14:36,"핵심은 청약 받고 대출 떙겨서 평생을 빚쟁이로 사는 대신 
한방에 집값 차익으로 돈 을 벌겠다는거잖아? 
뭔 순수하게 내가 살고 싶은 집은 어디하고 자빠졌어 ㅋㅋㅋ 전부 돈 쉽게 버는 방법이 막히니까 개지랄을 떠는게 팩트지",1,0,부정,제도 불공정,,,UgyWxriDCyMof4Hq23J4AaABAg
2026-09-14 21:00,노동소득이 의미있는 시대가 되었으면,1,0,해당 없음,,,,UgzLLIIiKADIngIuGCR4AaABAg
2026-09-14 22:28,ㅂ신같은 정책으로 집값 고공행진 시킨 정부들은....진짜,1,0,부정,"분양가·집값 부담, 정부·정치 불신",,,UgyeU39-szmzDwVK1QR4AaABAg
2026-09-15 20:44,의미 없음 해지하고 차라리 배당주를 사셈,1,0,부정,대체 투자·낮은 금리,,해지,UgyteJV7Rlzj9D34Dap4AaABAg
2026-09-14 20:25,"시발 진짜 애매한 서민층은 절대 혜택 못보게 하는 나라ㅋㅋ
개씹 흙수저정도는 되야 자격요건이됨",1,0,부정,제도 불공정,,,UgxDZ1L94iZ7hRQg0G94AaABAg
2026-09-14 15:48,총액으로 뽑는게 문제가 아니라 집값이 문제라고하는데 집값은 처 안잡고 오히려 엄한걸 잡으려하네 청약 횟수가 늘고 금액이 늘어나고해야 돌아가는거지 뭔 말도 안되는 소리를 인터뷰 답변이라고 처 하고있냐.,1,0,부정,"분양가·집값 부담, 제도 불공정",,,UgzrjDAKCZyk4s6Rx4F4AaABAg
2026-09-13 17:11,"LH 공무원들 비리 사건도 한몫을 했지요.
누구를 위한 청약가입인지?
고위층 기득권층들의 장난에 놀아나지 맙시다.",1,0,부정,"제도 불공정, 정부·정치 불신",,,Ugy2qIGASsIWfq5lr-J4AaABAg
2026-09-15 15:13,"노무현 정부떄 집 값 폭등 
문재인 정부떄 집 값 폭등 
진짜 이떄만 두배 가까이 오름 ㅋㅋ
노무현떄 두채 문재인떄 한채 구매한 부모님 ㄹㅇ 감탄스러움 
진보 뽑히면 공격적으로 실물+안전자산 = 부동산 투자해야된다고 했던 부모님 ㄹㅇ 대단함",1,0,해당 없음,정부·정치 불신,,,UgzEBuP5lusNSE8Z-o54AaABAg
2026-09-13 15:00,중공은 집있고 나는 없어?,1,0,해당 없음,,,,UgxRBYQMlXBSLk_oCCp4AaABAg
2026-09-13 13:46,"청약통장 분양 제도 없애야함. 청년들 당첨되도 돈없어서 못들어가는데 뭔소용? 
있는집안 자식 로또분양 시키는꼴, 
그냥 sh나 lh 20년 장기 임대주택 개념으로만 가는게 맞다고봄. 20년거주하면 결혼하고 애낳을수는 있자나. 그때쯤이면 자금 모아 분양받던 나가던 하면되고,",1,0,부정,"제도 불공정, 임대·대출우대 등 부가 기능",,해지,UgyQ6T8RNucQFZ8piAJ4AaABAg
2026-09-13 13:45,찢자이오밍 탓. 1년만에 20프로 가까이 실질 집값을 다 올려바림,1,0,부정,분양가·집값 부담,,,UgzSqoKY5JPTEutGQAN4AaABAg
2026-09-15 15:07,"집없는 사람들 구제방편으로 만든 제도가 어떻게 하다 이지경이 났는데 이걸 당연히 생각하는 정부도 골때리고....
청약제도 개편할 생각 아~~~무도 안하는걸 보면  어떤 정부도 있는사람들 편이라는걸 부정할수가 없네",1,0,부정,"제도 불공정, 정부·정치 불신",,,UgyR51igcTPakm_x_IB4AaABAg
2026-09-13 13:37,청약도 안걸리고 헌아파트가도 뭐 나쁘지 않아,1,0,양가,가점·당첨확률,,,UgyGrr8mTWHrdHw4B8B4AaABAg
2026-09-14 19:42,문재앙이 돈 뿌려놓고 그거 거둬들이려고 공시지가 올려놓으니까 나라 경제가 개작살남.  지방아파트도 기본 3억 이상인데 부모 지원없는 애들 대다수가 수도권 집 청약 당첨되도 돈을 지불할 수가 없다.,1,0,부정,"제도 불공정, 정부·정치 불신, 수도권 집중·지방·인구",,,UgzMSIjOFenle-4Izpd4AaABAg
2026-09-13 20:17,그만큼 열심히 살지그랬냐 당첨만되면 덥석다되는줄알았누? 옛날부터그랬는데 뭘,1,0,부정,가점·당첨확률,,,UgxF0EayvN2MjxR4EtR4AaABAg
2026-09-15 16:22,"자격이 나보다 더 미달인 사람이 당첨 되는거 보고 바로 청약 깨고 그 돈으로 올해 초 주식 넣었는데 맛있게 먹고 나와서 집 사는데 보태서 구매함
청약 있었을 때 보다 더 행복하게 살고 있음",1,0,긍정,임대·대출우대 등 부가 기능,,유지,UgzPqFq0_Ml5qTK0Hkx4AaABAg
2026-09-14 22:49,"넣을려면 분양가 비싸도
분양가 괜찬으면 소득에서 걸리고
소득 괜찬으면 자산에서 걸리고
50대도 자가가 없는데 2030 얘기만 떠들고 있고. ~~~
노답~~~ 때려쳐",1,0,부정,"분양가·집값 부담, 제도 불공정",,,Ugxxol0Nwfjw1ySJ1sN4AaABAg
2026-09-15 07:02,대출노예 당첨되는게 뭔 경사임?ㅋㅋㅋㅋㅋㅋㅋ,1,0,부정,가점·당첨확률,,,UgyW3Efqh2xk9tJDZhJ4AaABAg
2026-09-15 17:07,당첨되면 뭐하냐 돈이없는데 가격이 말이안된다,1,0,부정,분양가·집값 부담,,,UgwlNOAMQmDYhXGD5C14AaABAg
2026-09-13 22:51,수도권은 살기 힘들게 지방은 살기 좋게 해야 수도과 과밀화가 해소 될거다 지방에 아파트 지어서 20년 이상 사는 조건으로 정상적인 가격애 팔아봐라,1,0,양가,수도권 집중·지방·인구,,,Ugz2SS0QF7wAFeTdk4p4AaABAg
2026-09-13 19:25,민주당때문에 집값이 너무 올라서,1,0,부정,"분양가·집값 부담, 정부·정치 불신",,,UgypllqUGjCNNTCunGJ4AaABAg
2026-09-13 18:30,"애초 청약이라는 제도 자체가 요즘 시대랑 안맞음. 서울은 과잉포화 상태인데, 극소수에게만 싸게 집을 준다는거 자체도 형평성에 안맞음.",1,0,부정,제도 불공정,,,UgzJsVRZivz7Esq9CTd4AaABAg
2026-09-18 08:39,ㅋㅋ 이제 곧 국민연금 마냥 의무가입으로 바꿀듯 공산민국 진짜 ㅋㅋ,1,0,해당 없음,정부·정치 불신,,,Ugwmt3Llzy1Qr-gw98Z4AaABAg
2026-09-17 16:45,옛날에야 청약 당첨되면 싼 가격에 아파트 샀지만 실거래 주작질로 주변 시세 높이고 취소해서 분양가 장난질😂,1,0,부정,분양가·집값 부담,,,UgwT0JCijfg4DN169IN4AaABAg
2026-09-14 12:02,저거 다 문ㅈㅇ때문이네.,1,0,해당 없음,정부·정치 불신,,,UgxOKO6JNzZz-riA-eF4AaABAg
2026-09-14 12:00,"1억~2억 짜리 똥 빌라 소유하고 있다고 무주택기간 점수에서 제외되는 자체가 이상하지.
누구는 8억짜리 집 전세 살면서 무주택 기간 혜택받고.
소득조건은 낮아야 되지만
가진 재산은 많아야 분양 받을 수 있는 모순 덩어리",1,0,부정,제도 불공정,,,UgyJduD60KdMbb0Tqgx4AaABAg
2026-09-14 11:58,요즘 그냥 집값이 미쳐돌어가는중임....재개발을 해도 문제임... 분담금 요즘 미쳐돌아가지고....9억짜리 집이 재개발한다고 그래서 분담금 보니까 7억........ 이번에 결혼하고 올해 출산해서 청약을 해보려고 봐도 그 가격이 쉽지않음....,1,0,부정,"분양가·집값 부담, 수도권 집중·지방·인구",,,UgxwpgeFEUVIM1IBtip4AaABAg
2026-09-18 05:53,분양가도 개비싸 그냥 사도 개비싸.. 서울은 65점 이상에 대출은 또 규제 개빡쌤.. 청약적금 혜택좋다하고 청년들 꼬득여..ㅉ 근데 못삼ㅋ 근데 지방? 지방은 또 가격 거품끼고 1인 가구 청년은 그 가격대로 어케 사라는거임? 결혼이랑 애낳아야 그나마 무슨 주택이다 얻어살지 에휴,1,0,부정,"분양가·집값 부담, 대출규제·자금조달, 제도 불공정, 정부·정치 불신, 수도권 집중·지방·인구",,,Ugzb1mNjhwLl7tCAGt14AaABAg
